نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد,fa_date,en_date,fa_year
سنوين,سرمايه گذاري اقتصاد نوين,0,0,0,11118,0,11245,127,1.14,11118,0,0,0,0,676.0,16.45,0,0,0,11482,400,1,1399-07-13,2020-10-04,1399
حريل02,اجاره ريل پردازسير021212,0,0,0,940000,0,940001,1,0.0,940000,0,0,0,0,,,1,1250,940000,0,0,0,1399-07-13,2020-10-04,1399
وصندوق,سرمايه‌گذاري‌صندوق‌بازنشستگي‌,0,0,0,17750,0,17810,60,0.34,17750,0,0,0,0,1067.0,16.64,3,6355,17810,18120,3300,2,1399-07-13,2020-10-04,1399
بذر,صندوق س بذر اميد آفرين-سهام,0,0,0,117370,0,119980,2610,2.22,117370,0,0,0,0,,,0,0,0,123660,50,1,1399-07-13,2020-10-04,1399
سيدكو,سرمايه گذاري توسعه صنايع سيمان,0,0,0,6600,0,6830,230,3.48,6600,0,0,0,0,778.0,8.48,1,10000,6200,7000,5000,1,1399-07-13,2020-10-04,1399
افاد2,منفعت دولتي2-شرايط خاص14000626,0,0,0,1000000,0,1000000,0,0.0,1000000,0,0,0,0,,,1,100,950861,0,0,0,1399-07-13,2020-10-04,1399
صمعاد412,صكوك اجاره معادن412-6ماهه21%,0,0,0,1000000,0,1000000,0,0.0,1000000,0,0,0,0,,,1,2000,1000002,0,0,0,1399-07-13,2020-10-04,1399
توريل,توکاريل,0,0,0,18917,0,19503,586,3.1,18917,0,0,0,0,860.0,22.0,10,27077,19503,20999,255,1,1399-07-13,2020-10-04,1399
وساپا,سرمايه‌گذاري‌ سايپا,0,0,0,10430,0,10520,90,0.86,10430,0,0,0,0,256.0,40.74,1,2100,10520,10810,2466,1,1399-07-13,2020-10-04,1399
قشهد,شهد,0,0,0,32420,0,31010,-1410,-4.35,32420,0,0,0,0,495.0,65.49,0,0,0,31010,657,2,1399-07-13,2020-10-04,1399
آبادا,توليد نيروي برق آبادان,0,0,0,23890,0,23300,-590,-2.47,23890,0,0,0,0,280.0,85.32,8,7646,22960,23300,92971,817,1399-07-13,2020-10-04,1399
ضملي8070,اختيارخ فملي -17750-1399/08/06,0,0,0,18000,0,18001,1,0.01,18000,0,0,0,0,,,1,100,2,0,0,0,1399-07-13,2020-10-04,1399
غويتا,ويتانا,0,0,0,71560,0,70600,-960,-1.34,71560,0,0,0,0,1018.0,70.29,0,0,0,70480,10000,1,1399-07-13,2020-10-04,1399
